accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,fit_time_s
0.9785353535353535,0.9785072838257873,0.9785072838257873,333,302,lda,electrical_drift_050rms,0.01545910001732409
0.8409090909090909,0.7965909501068323,0.7965909501068325,333,302,lda,electrical_drift_100rms,0.01545910001732409
0.9684343434343434,0.9685543529580357,0.9685543529580356,333,302,cart,clean_reextract,0.2985007999232039
0.7815656565656566,0.7802685815727571,0.7802685815727571,333,302,cart,vibration_missing,0.2985007999232039
0.9671717171717171,0.9672769352914742,0.9672769352914741,333,302,cart,electrical_missing,0.2985007999232039
0.9722222222222222,0.9722775213209819,0.9722775213209818,333,302,cart,vibration_gain_075,0.2985007999232039
0.952020202020202,0.952264237937077,0.9522642379370768,333,302,cart,vibration_gain_050,0.2985007999232039
0.5631313131313131,0.5146133478860994,0.5146133478860994,333,302,cart,vibration_gain_025,0.2985007999232039
0.9671717171717171,0.9672721163147059,0.967272116314706,333,302,cart,electrical_gain_075,0.2985007999232039
0.9671717171717171,0.9672721163147059,0.967272116314706,333,302,cart,electrical_gain_050,0.2985007999232039
0.9671717171717171,0.9672721163147059,0.967272116314706,333,302,cart,electrical_gain_025,0.2985007999232039
0.9684343434343434,0.9685544415198266,0.9685544415198266,333,302,cart,vibration_drift_025rms,0.2985007999232039
0.9684343434343434,0.9685617982180682,0.9685617982180682,333,302,cart,vibration_drift_050rms,0.2985007999232039
0.9659090909090909,0.9661774705765019,0.9661774705765019,333,302,cart,vibration_drift_100rms,0.2985007999232039
0.9646464646464646,0.9648671120084922,0.964867112008492,333,302,cart,electrical_drift_025rms,0.2985007999232039
0.9696969696969697,0.9698315477697507,0.9698315477697508,333,302,cart,electrical_drift_050rms,0.2985007999232039
0.9709595959595959,0.9710904462338648,0.9710904462338648,333,302,cart,electrical_drift_100rms,0.2985007999232039
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,rf,clean_reextract,7.531475699972361
0.8320707070707071,0.8291576185152344,0.8291576185152342,333,302,rf,vibration_missing,7.531475699972361
